cluster_id,title,principal_source,url,primary_theme,relevance,grouping,comments
ccc-atlantic-climate-finance,Assessing intersectional inequities in climate finance across Atlantic Canada,Edmund Yirenkyi and Amanda Asiamah,https://doi.org/10.1007/s44274-026-00957-0,canadian-climate-policy,,,
ccc-austin-tree-canopy,How Austin uses AI to address tree canopies,Axios Austin,https://www.axios.com/local/austin/2026/06/04/austin-google-ai-tree-canopies,evidence-infrastructure-tools,,,
ccc-bc-community-infrastructure,Building Communities Strong in British Columbia with 54 new infrastructure projects,"Housing, Infrastructure and Communities Canada",https://www.canada.ca/en/housing-infrastructure-communities/news/2026/07/building-communities-strong-in-british-columbia-with-54-new-infrastructure-projects.html,canadian-climate-policy,,,
ccc-bc-lgcap-nonrenewal,Local Government Climate Action Program has not been renewed,Union of BC Municipalities,https://www.ubcm.ca/about-ubcm/latest-news/local-government-climate-action-program-has-not-been-renewed,canadian-climate-policy,,,
ccc-berkeley-synthesis-launch,From Observation to Decision: An Introduction to Synthesis by Berkeley Earth,Berkeley Earth,https://berkeleyearth.org/from-observation-to-decision-an-introduction-to-synthesis-by-berkeley-earth/,evidence-infrastructure-tools,,,
ccc-coolcity-europe-tool-news,Planning data-driven climate adaptation actions,EU Covenant of Mayors,https://eu-mayors.ec.europa.eu/en/news/planning-data-driven-climate-adaptation-actions,evidence-infrastructure-tools,,,
ccc-coolcity-index,COOLCITY Index.eu,COOLCITY project,https://coolcityindex.eu/,evidence-infrastructure-tools,,,
ccc-data-portal-for-cities,Data Portal for Cities,Data Portal for Cities,https://dataportalforcities.org/,evidence-infrastructure-tools,,,
ccc-el-nino-urban-heat,"This summer isn't breaking heat records yet. Wait until El Nino kicks in, scientists say",Associated Press,https://apnews.com/article/ffd31dd358a894667c63f4c0a21cd677,climate-governance-delivery,,,
ccc-era5-urban-biases,Evaluating ERA5-Land air temperature and dew point biases in built-up environments in the UK,Junjie Yu and co-authors,https://doi.org/10.1016/j.uclim.2026.103088,evidence-infrastructure-tools,,,
ccc-france-heat-drought,July breaks drought and heat records in France: The issue of water is becoming absolutely critical,Le Monde,https://www.lemonde.fr/en/environment/article/2026/08/05/july-breaks-drought-and-heat-records-the-issue-of-water-is-becoming-absolutely-critical_6756164_114.html,climate-governance-delivery,,,
ccc-green-transition-justice,Social Impacts of the Green Transition: Prospective Environmental (In)Justice in Europe's Peripheries,Marcus Erridge and co-authors,https://doi.org/10.17645/pag.12268,just-transitions-workforce,,,
ccc-housing-climate-rights,Why the Right to Housing is the Key to Climate Survival,C40 Cities,https://www.c40.org/news/why-the-right-to-housing-is-the-key-to-climate-survival/,co-benefits-place-based-valuation,,,
ccc-july-city-warming,July 4th: The Hottest Month Is Getting Hotter After 250 Years of Climate Change,Climate Central,https://www.climatecentral.org/climate-matters/250-years-of-climate-change,evidence-infrastructure-tools,,,
ccc-local-capacity-policy-evaluation,Local capacity building and policy evaluation in climate and environmental governance,Gian Carlo Delgado Ramos,https://doi.org/10.1007/s44327-026-00345-6,urban-climate-learning,,,
ccc-local-temperature-records-tool,Local Records Data Viewer,Climate Central,https://app.climatecentral.org/dataviz/local-records/data-viewer,evidence-infrastructure-tools,,,
ccc-maritime-workforce-skills,Preparing the maritime workforce for the twin transition: skill priorities and educational needs,Phoebe Koundouri and co-authors,https://doi.org/10.3389/frevc.2026.1887750,just-transitions-workforce,,,
ccc-multilayered-urban-forests,Multi-layered Urban Forests: can a City be dense and green?,Mohammad A. Rahman and co-authors,https://doi.org/10.3389/frsc.2026.1842594,co-benefits-place-based-valuation,,,
ccc-nature-based-solutions-scaling,From pilot to paradigm: a call for entrepreneurial strategies to scale up the implementation of nature-based solutions,Tara Op de Beeck and Tom Coppens,https://doi.org/10.1080/09654313.2026.2714960,climate-governance-delivery,,,
ccc-reuters-climate-monitor,Reuters Climate Monitor,Reuters and Copernicus Climate Change Service,https://climate.copernicus.eu/reuters-launches-climate-monitor-tool-powered-copernicus-climate-change-service-data,evidence-infrastructure-tools,,,
ccc-sustainable-urban-data-centres,Mayors from around the world unite in call for sustainable urban data centres,C40 Cities,https://www.c40.org/news/mayors-from-around-the-world-unite-in-call-for-sustainable-urban-data-centres/,climate-governance-delivery,,,
ccc-syracuse-climate-plan,Mayor Owens Announces Adoption of Inaugural Climate Action Plan,City of Syracuse,https://www.syr.gov/News/City-News/City-2026/2026-07-14-Mayors-Office-News-1130AM,climate-governance-delivery,,,
ccc-unep-extreme-heat-diplomacy,Beating the Heat Together: City Diplomacy and the Global Mobilization against Extreme Heat,United Nations Environment Programme,https://www.unep.org/events/unep-event/beating-heat-together-city-diplomacy-and-global-mobilization-against-extreme-heat,urban-climate-learning,,,
ccc-urban-smes-net-zero,Engaging urban SMEs in net-zero transitions to mitigate climate change: Navigating multi-level governance challenges,Chamila Weerathunghe Arachchige and co-authors,https://doi.org/10.1177/02662426261464140,climate-governance-delivery,,,
ccc-urbclim-model,The UrbClim model,VITO,https://www.urban-climate.eu/model,evidence-infrastructure-tools,,,
